sepal_length,sepal_width,petal_length,petal_width,class
False,True,False,False,setosa
False,False,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,False,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,False,False,False,setosa
False,False,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,False,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,False,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,False,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,False,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
False,True,False,False,setosa
True,True,True,True,versicolor
True,True,True,True,versicolor
True,True,True,True,versicolor
False,False,True,True,versicolor
True,False,True,True,versicolor
False,False,True,True,versicolor
True,True,True,True,versicolor
False,False,False,False,versicolor
True,False,True,True,versicolor
False,False,True,True,versicolor
False,False,False,False,versicolor
True,False,True,True,versicolor
True,False,True,False,versicolor
True,False,True,True,versicolor
False,False,False,True,versicolor
True,True,True,True,versicolor
False,False,True,True,versicolor
False,False,True,False,versicolor
True,False,True,True,versicolor
False,False,True,False,versicolor
True,True,True,True,versicolor
True,False,True,True,versicolor
True,False,True,True,versicolor
True,False,True,True,versicolor
True,False,True,True,versicolor
True,False,True,True,versicolor
True,False,True,True,versicolor
True,False,True,True,versicolor
True,False,True,True,versicolor
False,False,False,False,versicolor
False,False,True,False,versicolor
False,False,False,False,versicolor
False,False,True,True,versicolor
True,False,True,True,versicolor
False,False,True,True,versicolor
True,True,True,True,versicolor
True,True,True,True,versicolor
True,False,True,True,versicolor
False,False,True,True,versicolor
False,False,True,True,versicolor
False,False,True,True,versicolor
True,False,True,True,versicolor
False,False,True,True,versicolor
False,False,False,False,versicolor
False,False,True,True,versicolor
False,False,True,True,versicolor
False,False,True,True,versicolor
True,False,True,True,versicolor
False,False,False,False,versicolor
False,False,True,True,versicolor
True,True,True,True,virginica
False,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
False,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,True,True,True,virginica
True,True,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
False,False,True,True,virginica
False,False,True,True,virginica
True,True,True,True,virginica
True,False,True,True,virginica
True,True,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,True,True,True,virginica
False,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,True,True,True,virginica
True,True,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,True,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,True,True,True,virginica
True,True,True,True,virginica
True,False,True,True,virginica
True,True,True,True,virginica
True,True,True,True,virginica
True,True,True,True,virginica
False,False,True,True,virginica
True,True,True,True,virginica
True,True,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,False,True,True,virginica
True,True,True,True,virginica
True,False,True,True,virginica
