classifier,decomposition,dataset_size,feature_amounts,prediction_time
KNN,pca-antes,18000,100,144.994136
NB,pca-antes,18000,100,0.026047
RandomForest,pca-antes,18000,100,0.234103
Tree,pca-antes,18000,100,0.00492400000002
SVM,pca-antes,18000,100,4.370922
KNN,pca-despues,18000,158,20.562835
NB,pca-despues,18000,158,0.300007
RandomForest,pca-despues,18000,158,0.761278
Tree,pca-despues,18000,158,0.346008
SVM,pca-despues,18000,158,6.521439
KNN,svd-antes,18000,100,8.329571
NB,svd-antes,18000,100,0.0247460000001
RandomForest,svd-antes,18000,100,0.361429
Tree,svd-antes,18000,100,0.00760000000002
SVM,svd-antes,18000,100,13.071336
KNN,svd-despues,18000,158,5.251385
NB,svd-despues,18000,158,0.530621
RandomForest,svd-despues,18000,158,0.803771
Tree,svd-despues,18000,158,0.481983
SVM,svd-despues,18000,158,1.942716
